country_name,name,currency_name,exchange_date,conversion_rate
Netherlands Antilles     ,Netherlands Antilles Guilder            ,ANG,30-Jun-23,1.79
New Caledonia            ,CFP Franc                               ,XPF,30-Jun-23,108.999
New Zealand              ,New Zealand Dollar                      ,NZD,30-Jun-23,1.622
Nicaragua                ,Nicaragua Cordoba Oro                   ,NIO,30-Jun-23,36.166
Niger                    ,CFA Franc                               ,XOF,30-Jun-23,599.157
Nigeria                  ,Nigeria Naira                           ,NGN,30-Jun-23,752.19
Niue                     ,New Zealand Dollar                      ,NZD,30-Jun-23,1.622
"North Macedonia, Rep. of ",Denar                                   ,MKD,30-Jun-23,56.018
Northern Mariana Islands ,US Dollar                               ,USD,30-Jun-23,1
Norway                   ,Norwegian Krone                         ,NOK,30-Jun-23,10.745
Oman                     ,Oman Rial                               ,OMR,30-Jun-23,0.385
Pakistan                 ,Pakistani Rupee                         ,PKR,30-Jun-23,285.225
"Palau, Republic of       ",US Dollar                               ,USD,30-Jun-23,1
Panama                   ,Panama Balboa                           ,PAB,30-Jun-23,1
Papua New Guinea         ,Kina                                    ,PGK,30-Jun-23,3.559
Paraguay                 ,Paraguay Guarani                        ,PYG,30-Jun-23,7257
Peru                     ,Sol                                     ,PEN,30-Jun-23,3.637
Philippines              ,Philippine Peso                         ,PHP,30-Jun-23,55.317
Poland                   ,Poland Zloty                            ,PLN,30-Jun-23,4.051
Portugal                 ,Euro                                    ,EUR,30-Jun-23,0.913
Puerto Rico              ,US Dollar                               ,USD,30-Jun-23,1
Qatar                    ,Qatari Rial                             ,QAR,30-Jun-23,3.645
Reunion                  ,Euro                                    ,EUR,30-Jun-23,0.913
Romania                  ,Romanian Leu                            ,RON,30-Jun-23,4.53
Russian Federation       ,Russian Rouble                          ,RUB,30-Jun-23,85.114
Rwanda                   ,Rwanda Franc                            ,RWF,30-Jun-23,1146.522
Saint Helena             ,St.Helena Pound                         ,SHP,30-Jun-23,0.785
Saint Kitts and Nevis    ,E.C. Dollar                             ,XCD,30-Jun-23,2.7
Saint Lucia              ,E.C. Dollar                             ,XCD,30-Jun-23,2.7
Samoa                    ,Samoa Tala                              ,WST,30-Jun-23,2.691
San Marino               ,Euro                                    ,EUR,30-Jun-23,0.913
Sao Tome and Principe    ,Sao Tome Principe Dobra                 ,STN,30-Jun-23,22.934
Saudi Arabia             ,Saudi Riyal                             ,SAR,30-Jun-23,3.751
Senegal                  ,CFA Franc                               ,XOF,30-Jun-23,599.157
Serbia                   ,Serbian Dinar                           ,RSD,30-Jun-23,107.016
Seychelles               ,Seychelles Rupee                        ,SCR,30-Jun-23,13.283
Sierra Leone             ,Sierra Leone Leone                      ,SLE,30-Jun-23,19
Singapore                ,Singapore Dollar                        ,SGD,30-Jun-23,1.349
Slovakia                 ,Euro                                    ,EUR,30-Jun-23,0.913
Slovenia                 ,Euro                                    ,EUR,30-Jun-23,0.913
Solomon Islands          ,Solomon Is. Dollar                      ,SBD,30-Jun-23,8.15
Somalia                  ,Somali Shilling                         ,SOS,30-Jun-23,24300
South Africa             ,South Africa Rand                       ,ZAR,30-Jun-23,18.513
South Sudan              ,South Sudanese Pound                    ,SSP,30-Jun-23,986.704
Spain                    ,Euro                                    ,EUR,30-Jun-23,0.913
Sri Lanka                ,Sri Lanka Rupee                         ,LKR,30-Jun-23,307.69
St. Vincent and the Grena,E.C. Dollar                             ,XCD,30-Jun-23,2.7
Sudan                    ,Sudanese Pound                          ,SDG,30-Jun-23,575.27
Suriname                 ,Surinamese Dollar                       ,SRD,30-Jun-23,38.198
Sweden                   ,Swedish Krona                           ,SEK,30-Jun-23,10.735
Switzerland              ,Swiss Franc                             ,CHF,30-Jun-23,0.895
Syrian Arab Republic     ,Syrian Pound                            ,SYP,30-Jun-23,6500
Tajikistan               ,Tajikistan Somoni                       ,TJS,30-Jun-23,10.914
"Tanzania, United Rep. of ",Tanzania Shilling                       ,TZS,30-Jun-23,2368.6
Thailand                 ,Thai Baht                               ,THB,30-Jun-23,35.27
Togo                     ,CFA Franc                               ,XOF,30-Jun-23,599.157
Tokelau Islands          ,New Zealand Dollar                      ,NZD,30-Jun-23,1.622
Tonga                    ,Tonga Pa'anga                           ,TOP,30-Jun-23,2.315
Trinidad and Tobago      ,Trinidad and Tobago Dollar              ,TTD,30-Jun-23,6.76
Tunisia                  ,Tunisian Dinar                          ,TND,30-Jun-23,3.083
Turkey                   ,Turkish Lira                            ,TRY,30-Jun-23,26.005
Turkmenistan             ,Turkmenistan Manat                      ,TMT,30-Jun-23,3.5
Turks and Caicos Island  ,US Dollar                               ,USD,30-Jun-23,1
